	Stars					UAI name
0	   {ERO}       	      	Extremely Red Object                      	http://astrothesaurus.org/uat/0		
0	   {ALS}       	      	Absorption Line System                    	http://astrothesaurus.org/uat/0	Quasar absorption line spectroscopy(1317)	
977	     {LyA}     	      	Ly alpha Absorption Line System           	http://astrothesaurus.org/uat/977		
349	     {DLA}     	      	Damped Ly-alpha Absorption Line System    	http://astrothesaurus.org/uat/349		
1032	     {mAL}     	      	metallic Absorption Line System           	http://astrothesaurus.org/uat/1032		
981	     {LLS}     	      	Lyman limit System                        	http://astrothesaurus.org/uat/981		
183	     {BAL}     	      	Broad Absorption Line System              	http://astrothesaurus.org/uat/183	183=BAL quasar	
	Environment properties			http://astrothesaurus.org/uat/		
0	   PoG         	      	Part of a Galaxy                          	http://astrothesaurus.org/uat/0		
0	   GiP         	      	Galaxy in Pair of Galaxies                	http://astrothesaurus.org/uat/0		
0	   GiG         	      	Galaxy towards a Group of Galaxies        	http://astrothesaurus.org/uat/0		
0	   GiC         	      	Galaxy towards a Cluster of Galaxies      	http://astrothesaurus.org/uat/0		
181	     BiC       	      	Brightest Galaxy in a Cluster (BCG)       	http://astrothesaurus.org/uat/181		
	SETS OF GALAXIES			http://astrothesaurus.org/uat/		
802	 IG            	      	Interacting Galaxies                      	http://astrothesaurus.org/uat/802		
610	 PaG           	      	Pair of Galaxies                          	http://astrothesaurus.org/uat/610		
597	 GrG           	 Gr?  	Group of Galaxies                         	http://astrothesaurus.org/uat/597		
0	   CGG         	      	Compact Group of Galaxies                 	http://astrothesaurus.org/uat/0	729=Hickson compact group	
584	 ClG           	 C?G  	Cluster of Galaxies                       	http://astrothesaurus.org/uat/584		
1657	 SCG           	 SC?  	Supercluster of Galaxies                  	http://astrothesaurus.org/uat/1657		
1779	 vid           	      	Underdense Region of the Universe         	http://astrothesaurus.org/uat/1779		
	GRAVITATION			http://astrothesaurus.org/uat/		
0	 grv           	      	Gravitational Source                      	http://astrothesaurus.org/uat/0		
670	   Lev         	      	(Micro)Lensing Event                      	http://astrothesaurus.org/uat/670	672=Micro-lensing	
0	   gLS         	 LS?  	Gravitational Lens System (lens+images)   	http://astrothesaurus.org/uat/0		
0	     gLe       	 Le?  	Gravitational Lens                        	http://astrothesaurus.org/uat/0		
0	     LeI       	 LI?  	Gravitationally Lensed Image              	http://astrothesaurus.org/uat/0		
0	       LeG     	      	Gravitationally Lensed Image of a Galaxy  	http://astrothesaurus.org/uat/0		
671	       LeQ     	      	Gravitationally Lensed Image of a Quasar  	http://astrothesaurus.org/uat/671		
162	  [BH ]        	 BH?  	Black Hole                                	http://astrothesaurus.org/uat/162		
677	   GWE         	      	Gravitational Wave Event                  	http://astrothesaurus.org/uat/677		
	GENERAL SPECTRAL PROPERTIES			http://astrothesaurus.org/uat/		
1851	 ev            	      	Transient Event                           	http://astrothesaurus.org/uat/1851		
1358	 Rad           	      	Radio Source                              	http://astrothesaurus.org/uat/1358		
0	   mR          	      	Metric Radio Source                       	http://astrothesaurus.org/uat/0		
0	   cm          	      	Centimetric Radio Source                  	http://astrothesaurus.org/uat/0		
0	   mm          	      	Millimetric Radio Source                  	http://astrothesaurus.org/uat/0		
0	   smm         	      	Sub-Millimetric Source                    	http://astrothesaurus.org/uat/0		
0	   HI          	      	HI (21cm) Source                          	http://astrothesaurus.org/uat/0		
1339	   rB          	      	Radio Burst                               	http://astrothesaurus.org/uat/1339		
103	   Mas         	      	Maser                                     	http://astrothesaurus.org/uat/103		
793	 IR            	      	Infra-Red Source                          	http://astrothesaurus.org/uat/793		
0	   FIR         	      	Far-IR source (Î» >= 30 Âµm)                	http://astrothesaurus.org/uat/0		
0	  [MIR]        	      	Mid-IR Source (3 to 30 Âµm)                	http://astrothesaurus.org/uat/0		
0	   NIR         	      	Near-IR Source (Î» < 3 Âµm)                 	http://astrothesaurus.org/uat/0		
0	  {red}        	      	Very Red Source                           	http://astrothesaurus.org/uat/0		
2108	 [Opt]         	      	Optical Source                            	http://astrothesaurus.org/uat/2108		
0	   EmO         	      	Emission Object                           	http://astrothesaurus.org/uat/0		
0	   blu         	      	Blue Object                               	http://astrothesaurus.org/uat/0		
1741	 UV            	      	UV-emission Source                        	http://astrothesaurus.org/uat/1741		
1822	 X             	      	X-ray Source                              	http://astrothesaurus.org/uat/1822		
0	   ULX         	 UX?  	Ultra-luminous X-ray Source               	http://astrothesaurus.org/uat/0		
633	 gam           	      	Gamma-ray Source                          	http://astrothesaurus.org/uat/633		
629	   gB          	      	Gamma-ray Burst                           	http://astrothesaurus.org/uat/629		
	BLENDS, ERRORS, NOT WELL DEFINED OBJECTS			http://astrothesaurus.org/uat/		
0	 mul           	      	Composite Object, Blend                   	http://astrothesaurus.org/uat/0		
0	 err           	      	Not an Object (Error,  Artefact, …)	http://astrothesaurus.org/uat/0		
0	 ?             	      	Object of Unknown Nature                  	http://astrothesaurus.org/uat/0		
0	 reg           	      	Region defined in the Sky                 	http://astrothesaurus.org/uat/0		
