v-star;2;V*;Variable Star;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#V%2A) skos:exactMatch(http://astrothesaurus.org/uat/1761)
irregular-v-star;3;Irregular_V*;Irregular Variable;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#Ir%2A) skos:exactMatch(http://astrothesaurus.org/uat/865)
eruptive-star;3;Eruptive*;Eruptive Variable;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#Er%2A) skos:exactMatch(http://astrothesaurus.org/uat/476)
rot-v-star;3;RotV*;Rotating Variable;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#Ro%2A)
puls-v-star;3;PulsV*;Pulsating Variable;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#Pu%2A) skos:exactMatch(http://astrothesaurus.org/uat/1307)
em-star;2;Em*;Emission-line Star;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#Em%2A) skos:exactMatch(http://astrothesaurus.org/uat/460)
pm-star;2;PM*;High Proper Motion Star;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#PM%2A)
hv-star;2;HV*;High Velocity Star;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#HV%2A) skos:exactMatch(http://astrothesaurus.org/uat/736)
unknown;1;Unknown;Object of Unknown Nature;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#%3F)
assoc-star;1;Assoc*;Association of Stars;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#As%2A) skos:exactMatch(http://astrothesaurus.org/uat/1582)
stream-star;2;Stream*;Stellar Stream;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#St%2A)
mouv-group;2;MouvGroup;Moving Group;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#MGr) skos:exactMatch(http://astrothesaurus.org/uat/1076)
cl-star;1;Cl*;Cluster of Stars;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#Cl%2A) skos:exactMatch(http://astrothesaurus.org/uat/1567)
gl-cl;2;GlCl;Globular Cluster;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#GlC) skos:exactMatch(http://astrothesaurus.org/uat/656)
op-cl;2;OpCl;Open Cluster;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#OpC) skos:exactMatch(http://astrothesaurus.org/uat/1160)
cl-g;1;ClG;Cluster of Galaxies;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#ClG) skos:exactMatch(http://astrothesaurus.org/uat/584)
galaxy;1;Galaxy;Galaxy;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#G) skos:exactMatch(http://astrothesaurus.org/uat/573)
lsb-g;2;LSB_G;Low Surface Brightness Galaxy;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#LSB) skos:exactMatch(http://astrothesaurus.org/uat/940)
blue-comp-g;2;BlueCompG;Blue Compact Galaxy;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#bCG) skos:exactMatch(http://astrothesaurus.org/uat/165)
starburst-g;2;StarburstG;Starburst Galaxy;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#SBG) skos:exactMatch(http://astrothesaurus.org/uat/1570)
h-ii-g;2;HII_G;HII Galaxy;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#H2G)
em-g;2;EmG;Emission-line galaxy;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#EmG) skos:exactMatch(http://astrothesaurus.org/uat/459)
agn;2;AGN;Active Galaxy Nucleus;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#AGN) skos:exactMatch(http://astrothesaurus.org/uat/16)
seyfert;3;Seyfert;Seyfert Galaxy;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#SyG) skos:exactMatch(http://astrothesaurus.org/uat/1447)
seyfert-1;4;Seyfert_1;Seyfert 1 Galaxy;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#Sy1)
seyfert-2;4;Seyfert_2;Seyfert 2 Galaxy;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#Sy2)
radio-g;3;RadioG;Radio Galaxy;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#rG) skos:exactMatch(http://astrothesaurus.org/uat/1343)
liner;3;LINER;LINER-type Active Galaxy Nucleus;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#LIN) skos:exactMatch(http://astrothesaurus.org/uat/925)
qso;3;QSO;Quasar;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#QSO) skos:exactMatch(http://astrothesaurus.org/uat/1319)
blazar;4;Blazar;Blazar;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#Bla) skos:exactMatch(http://astrothesaurus.org/uat/164)
bl-lac;5;BLLac;BL Lac;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#BLL) skos:exactMatch(http://astrothesaurus.org/uat/158)
gin-pair;2;GinPair;Galaxy in Pair of Galaxies;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#GiP)
gin-group;2;GinGroup;Galaxy towards a Group of Galaxies;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#GiG)
gin-cl;2;GinCl;Galaxy towards a Cluster of Galaxies;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#GiC)
bcl-g;3;BClG;Brightest Galaxy in a Cluster (BCG);skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#BiC) skos:exactMatch(http://astrothesaurus.org/uat/181)
group-g;1;GroupG;Group of Galaxies;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#GrG) skos:exactMatch(http://astrothesaurus.org/uat/597)
compact-gr-g;2;Compact_Gr_G;Compact Group of Galaxies;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#CGG)
ig;1;IG;Interacting Galaxies;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#IG) skos:exactMatch(http://astrothesaurus.org/uat/802)
ir;1;IR;Infra-Red Source;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#IR) skos:exactMatch(http://astrothesaurus.org/uat/793)
fi-r;2;FIR;Far-IR source (λ >= 30 µm);skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#FIR)
m-ir;2;MIR;Mid-IR Source (3 to 30 µm);skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#MIR)
ni-r;2;NIR;Near-IR Source (λ < 3 µm);skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#NIR)
ism;1;ISM;Interstellar Medium Object;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#ISM) skos:exactMatch(http://astrothesaurus.org/uat/847)
sfregion;2;SFregion;Star Forming Region;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#SFR) skos:exactMatch(http://astrothesaurus.org/uat/1565)
h-ii;2;HII;HII Region;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#HII) skos:exactMatch(http://astrothesaurus.org/uat/694)
cloud;2;Cloud;Cloud;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#Cld) skos:exactMatch(http://astrothesaurus.org/uat/834)
gal-neb;3;GalNeb;Nebula;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#GNe) skos:exactMatch(http://astrothesaurus.org/uat/1095)
rf-neb;4;RfNeb;Reflection Nebula;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#RNe) skos:exactMatch(http://astrothesaurus.org/uat/1381)
mol-cld;3;MolCld;Molecular Cloud;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#MoC) skos:exactMatch(http://astrothesaurus.org/uat/1072)
dk-neb;3;DkNeb;Dark Cloud (nebula);skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#DNe) skos:exactMatch(http://astrothesaurus.org/uat/352)
globule;3;Globule;Globule (low-mass dark cloud);skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#glb)
com-glob;3;ComGlob;Cometary Globule / Pillar;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#CGb) skos:exactMatch(http://astrothesaurus.org/uat/276)
hv-cld;3;HVCld;High-velocity Cloud;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#HVC) skos:exactMatch(http://astrothesaurus.org/uat/735)
dense-core;2;denseCore;Dense Core;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#cor) skos:exactMatch(http://astrothesaurus.org/uat/371)
bubble;2;Bubble;Bubble;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#bub) skos:exactMatch(http://astrothesaurus.org/uat/1635)
sn-r;2;SNR;SuperNova Remnant;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#SNR) skos:exactMatch(http://astrothesaurus.org/uat/1667)
hishell;2;HIshell;Interstellar Shell;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#sh) skos:exactMatch(http://astrothesaurus.org/uat/242)
flt;2;flt;Interstellar Filament;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#flt) skos:exactMatch(http://astrothesaurus.org/uat/842)
opt;1;Opt;Optical Source;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#Opt) skos:exactMatch(http://astrothesaurus.org/uat/2108)
em-obj;2;EmObj;Emission Object;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#EmO)
blue;2;Blue;Blue Object;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#blu)
pair-g;1;PairG;Pair of Galaxies;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#PaG) skos:exactMatch(http://astrothesaurus.org/uat/610)
partof-cloud;1;PartofCloud;Part of Cloud;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#PoC)
partof-g;1;PartofG;Part of a Galaxy;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#PoG)
radio;1;Radio;Radio Source;skos:exactMatch(http://simbad.u-strasbg.fr/simbad/otypes#Rad) skos:exactMatch(http://astrothesaurus.org/uat/1358)
